vm_id	Date & Time	Disk (GB)	Memory (GiB)	Number of CPU's	CPU Usage (%)	Memory Usage (%)	Disk Usage (%)
vm_1	2017-07-16T16:52+0000	50	8	2	91.21342	86.87645	86.87645
vm_1	2017-07-16T16:57+0000	50	8	2	89.2342	89.2342	89.2342
vm_1	2017-07-16T17:02+0000	50	8	2	75.1231	75.1231	75.1231
vm_1	2017-07-16T17:07+0000	50	8	2	87.12543	99.135243	99.135243
vm_1	2017-07-16T17:12+0000	50	8	2	90.125342	86.87645	86.87645
vm_1	2017-07-16T17:17+0000	50	8	2	67.845645	89.2342	89.2342
vm_1	2017-07-16T17:22+0000	50	8	2	99.135243	75.1231	75.1231
vm_1	2017-07-16T17:27+0000	50	8	2	86.87645	83.7432345	83.7432345
vm_1	2017-07-16T17:32+0000	50	8	2	97.86456	90.125342	90.125342
vm_1	2017-07-16T17:37+0000	50	8	2	83.7432345	87.12543	87.12543
vm_1	2017-07-16T17:42+0000	50	8	2	90.125342	90.125342	90.125342
vm_1	2017-07-16T17:47+0000	50	8	2	67.845645	67.845645	67.845645
vm_1	2017-07-16T17:52+0000	50	8	2	99.135243	99.135243	99.135243
vm_1	2017-07-16T17:57+0000	50	8	2	86.87645	86.87645	86.87645
vm_1	2017-07-16T18:02+0000	50	8	2	89.2342	90.125342	90.125342
vm_1	2017-07-16T18:07+0000	50	8	2	75.1231	75.1231	75.1231
vm_1	2017-07-16T18:12+0000	50	8	2	87.12543	87.12543	87.12543
vm_1	2017-07-16T18:17+0000	50	8	2	90.125342	90.125342	90.125342
vm_1	2017-07-16T18:22+0000	50	8	2	86.87645	67.845645	67.845645
vm_1	2017-07-16T18:27+0000	50	8	2	97.86456	99.135243	99.135243
vm_1	2017-07-16T18:32+0000	50	8	2	83.7432345	86.87645	86.87645
vm_1	2017-07-16T18:37+0000	50	8	2	90.125342	67.845645	75.1231
vm_1	2017-07-16T18:42+0000	50	8	2	87.12543	99.135243	97.86456
vm_1	2017-07-16T18:47+0000	50	8	2	90.125342	86.87645	83.7432345
vm_1	2017-07-16T18:52+0000	50	8	2	67.845645	90.125342	90.125342
vm_1	2017-07-16T18:57+0000	50	8	2	99.135243	67.845645	67.845645
vm_1	2017-07-16T19:02+0000	50	8	2	86.87645	99.135243	99.135243
vm_1	2017-07-16T19:07+0000	50	8	2	90.125342	86.87645	86.87645
vm_1	2017-07-16T19:12+0000	50	8	2	67.845645	89.2342	89.2342
vm_1	2017-07-16T19:17+0000	50	8	2	99.135243	75.1231	99.135243
vm_1	2017-07-16T19:22+0000	50	8	2	86.87645	97.86456	86.87645
vm_1	2017-07-16T19:27+0000	50	8	2	89.2342	83.7432345	67.845645
vm_1	2017-07-16T19:32+0000	50	8	2	75.1231	90.125342	99.135243
vm_1	2017-07-16T19:37+0000	50	8	2	99.135243	67.845645	86.87645
vm_1	2017-07-16T19:42+0000	50	8	2	86.87645	99.135243	90.125342
