,vm_id_map,hour_minute_class,admin_historic_decision_disk
0,1,16.0,1
1,1,16.0,1
2,1,17.0,0
3,1,17.0,1
4,1,17.0,1
5,1,17.0,1
6,1,17.0,0
7,1,17.0,1
8,1,17.0,1
9,1,17.0,1
10,1,17.0,1
11,1,17.0,0
12,1,17.0,1
13,1,17.0,1
14,1,18.0,1
15,1,18.0,0
16,1,18.0,1
17,1,18.0,1
18,1,18.0,0
19,1,18.0,1
20,1,18.0,1
21,1,18.0,0
22,1,18.0,1
23,1,18.0,1
24,1,18.0,1
25,1,18.0,0
26,1,19.0,1
27,1,19.0,1
28,1,19.0,1
29,1,19.0,1
30,1,19.0,1
31,1,19.0,0
32,1,19.0,1
33,1,19.0,1
34,1,19.0,1
35,1,19.0,0
36,1,19.0,1
37,1,19.0,-1
38,1,20.0,-1
39,1,20.0,-1
40,1,20.0,-1
41,1,20.0,-1
42,1,20.0,-1
43,1,20.0,-1
44,1,20.0,-1
45,1,20.0,-1
46,1,20.0,-1
47,1,20.0,-1
48,1,20.0,-1
49,1,20.0,-1
50,1,21.0,-1
51,1,21.0,-1
52,1,21.0,-1
53,1,21.0,-1
54,1,21.0,-1
55,1,21.0,-1
56,1,21.0,-1
57,1,21.0,-1
58,1,21.0,-1
59,1,21.0,-1
60,1,21.0,-1
61,1,21.0,-1
62,1,22.0,-1
63,1,22.0,0
64,1,22.0,-1
65,1,22.0,-1
66,1,22.0,-1
67,1,22.0,-1
68,1,22.0,-1
69,1,22.0,-1
70,1,22.0,-1
71,1,22.0,-1
72,1,16.0,1
73,1,16.0,1
74,1,17.0,1
75,1,17.0,0
76,1,17.0,1
77,1,17.0,1
78,1,17.0,1
79,1,17.0,1
80,1,17.0,1
81,1,17.0,1
82,1,17.0,1
83,1,17.0,1
84,1,17.0,0
85,1,17.0,1
86,1,18.0,1
87,1,18.0,1
88,1,18.0,0
89,1,18.0,1
90,1,18.0,1
91,1,18.0,1
92,1,18.0,1
93,1,18.0,1
94,1,18.0,1
95,1,18.0,1
96,1,18.0,1
97,1,18.0,1
98,1,19.0,1
99,1,19.0,1
100,1,19.0,1
101,1,19.0,1
102,1,19.0,1
103,1,19.0,1
104,1,19.0,1
105,1,19.0,1
106,1,19.0,1
107,1,19.0,1
108,1,19.0,1
109,1,19.0,1
110,1,20.0,1
111,1,20.0,-1
112,1,20.0,0
113,1,20.0,-1
114,1,20.0,-1
115,1,20.0,-1
116,1,20.0,-1
117,1,20.0,-1
118,1,20.0,-1
119,1,20.0,-1
120,1,20.0,-1
121,1,20.0,-1
122,1,21.0,-1
123,1,21.0,-1
124,1,21.0,-1
125,1,21.0,-1
126,1,21.0,-1
127,1,21.0,-1
128,1,21.0,-1
129,1,21.0,-1
130,1,21.0,0
131,1,21.0,-1
132,1,21.0,-1
133,1,21.0,-1
134,1,22.0,-1
135,1,22.0,-1
136,1,22.0,-1
137,1,22.0,-1
138,1,22.0,-1
139,1,22.0,-1
140,1,22.0,0
141,1,22.0,-1
142,1,22.0,-1
143,1,22.0,-1
144,1,16.0,1
145,1,16.0,1
146,1,17.0,0
147,1,17.0,1
148,1,17.0,1
149,1,17.0,1
150,1,17.0,0
151,1,17.0,1
152,1,17.0,1
153,1,17.0,1
154,1,17.0,1
155,1,17.0,0
156,1,17.0,1
157,1,17.0,1
158,1,18.0,1
159,1,18.0,0
160,1,18.0,1
161,1,18.0,1
162,1,18.0,0
163,1,18.0,1
164,1,18.0,1
165,1,18.0,1
166,1,18.0,1
167,1,18.0,0
168,1,18.0,1
169,1,18.0,1
170,1,19.0,1
171,1,19.0,1
172,1,19.0,1
173,1,19.0,1
174,1,19.0,1
175,1,19.0,1
176,1,19.0,0
177,1,19.0,1
178,1,19.0,1
179,1,19.0,1
180,1,19.0,0
181,1,19.0,-1
182,1,20.0,-1
183,1,20.0,-1
184,1,20.0,-1
185,1,20.0,-1
186,1,20.0,-1
187,1,20.0,-1
188,1,20.0,-1
189,1,20.0,-1
190,1,20.0,0
191,1,20.0,-1
192,1,20.0,-1
193,1,20.0,-1
194,1,21.0,-1
195,1,21.0,-1
196,1,21.0,-1
197,1,21.0,-1
198,1,21.0,-1
199,1,21.0,-1
200,1,21.0,-1
201,1,21.0,-1
202,1,21.0,-1
203,1,21.0,-1
204,1,21.0,-1
205,1,21.0,-1
206,1,22.0,-1
207,1,22.0,-1
208,1,22.0,-1
209,1,22.0,-1
210,1,22.0,-1
211,1,22.0,-1
212,1,22.0,-1
213,1,22.0,-1
214,1,22.0,-1
215,1,22.0,-1
216,1,16.0,1
217,1,16.0,0
218,1,17.0,1
219,1,17.0,1
220,1,17.0,1
221,1,17.0,1
222,1,17.0,0
223,1,17.0,1
224,1,17.0,1
225,1,17.0,1
226,1,17.0,0
227,1,17.0,1
228,1,17.0,1
229,1,17.0,0
230,1,18.0,1
231,1,18.0,1
232,1,18.0,0
233,1,18.0,1
234,1,18.0,0
235,1,18.0,1
236,1,18.0,1
237,1,18.0,1
238,1,18.0,0
239,1,18.0,1
240,1,18.0,1
241,1,18.0,0
242,1,19.0,1
243,1,19.0,1
244,1,19.0,0
245,1,19.0,1
246,1,19.0,0
247,1,19.0,1
248,1,19.0,1
249,1,19.0,1
250,1,19.0,0
251,1,19.0,1
252,1,19.0,1
253,1,19.0,1
254,1,20.0,1
255,1,20.0,-1
256,1,20.0,-1
257,1,20.0,-1
258,1,20.0,-1
259,1,20.0,-1
260,1,20.0,-1
261,1,20.0,-1
262,1,20.0,-1
263,1,20.0,-1
264,1,20.0,-1
265,1,20.0,-1
266,1,21.0,-1
267,1,21.0,-1
268,1,21.0,-1
269,1,21.0,-1
270,1,21.0,-1
271,1,21.0,0
272,1,21.0,-1
273,1,21.0,-1
274,1,21.0,-1
275,1,21.0,-1
276,1,21.0,-1
277,1,21.0,-1
278,1,22.0,-1
279,1,22.0,-1
280,1,22.0,-1
281,1,22.0,-1
282,1,22.0,-1
283,1,22.0,-1
284,1,22.0,-1
285,1,22.0,-1
286,1,22.0,-1
287,1,22.0,-1
288,2,16.0,1
289,2,16.0,1
290,2,17.0,0
291,2,17.0,1
292,2,17.0,1
293,2,17.0,1
294,2,17.0,0
295,2,17.0,1
296,2,17.0,1
297,2,17.0,1
298,2,17.0,1
299,2,17.0,0
300,2,17.0,1
301,2,17.0,1
302,2,18.0,1
303,2,18.0,0
304,2,18.0,1
305,2,18.0,1
306,2,18.0,0
307,2,18.0,1
308,2,18.0,1
309,2,18.0,0
310,2,18.0,1
311,2,18.0,1
312,2,18.0,1
313,2,18.0,0
314,2,19.0,1
315,2,19.0,1
316,2,19.0,1
317,2,19.0,1
318,2,19.0,1
319,2,19.0,0
320,2,19.0,1
321,2,19.0,1
322,2,19.0,1
323,2,19.0,0
324,2,19.0,1
325,2,19.0,-1
326,2,20.0,-1
327,2,20.0,-1
328,2,20.0,-1
329,2,20.0,-1
330,2,20.0,-1
331,2,20.0,-1
332,2,20.0,-1
333,2,20.0,-1
334,2,20.0,-1
335,2,20.0,-1
336,2,20.0,-1
337,2,20.0,-1
338,2,21.0,-1
339,2,21.0,-1
340,2,21.0,-1
341,2,21.0,-1
342,2,21.0,-1
343,2,21.0,-1
344,2,21.0,-1
345,2,21.0,-1
346,2,21.0,-1
347,2,21.0,-1
348,2,21.0,-1
349,2,21.0,-1
350,2,22.0,-1
351,2,22.0,0
352,2,22.0,-1
353,2,22.0,-1
354,2,22.0,-1
355,2,22.0,-1
356,2,22.0,-1
357,2,22.0,-1
358,2,22.0,-1
359,2,22.0,-1
360,2,16.0,1
361,2,16.0,1
362,2,17.0,1
363,2,17.0,0
364,2,17.0,1
365,2,17.0,1
366,2,17.0,1
367,2,17.0,1
368,2,17.0,1
369,2,17.0,1
370,2,17.0,1
371,2,17.0,1
372,2,17.0,0
373,2,17.0,1
374,2,18.0,1
375,2,18.0,1
376,2,18.0,0
377,2,18.0,1
378,2,18.0,1
379,2,18.0,1
380,2,18.0,1
381,2,18.0,1
382,2,18.0,1
383,2,18.0,1
384,2,18.0,1
385,2,18.0,1
386,2,19.0,1
387,2,19.0,1
388,2,19.0,1
389,2,19.0,1
390,2,19.0,1
391,2,19.0,1
392,2,19.0,1
393,2,19.0,1
394,2,19.0,1
395,2,19.0,1
396,2,19.0,1
397,2,19.0,1
398,2,20.0,1
399,2,20.0,-1
400,2,20.0,0
401,2,20.0,-1
402,2,20.0,-1
403,2,20.0,-1
404,2,20.0,-1
405,2,20.0,-1
406,2,20.0,-1
407,2,20.0,-1
408,2,20.0,-1
409,2,20.0,-1
410,2,21.0,-1
411,2,21.0,-1
412,2,21.0,-1
413,2,21.0,-1
414,2,21.0,-1
415,2,21.0,-1
416,2,21.0,-1
417,2,21.0,-1
418,2,21.0,0
419,2,21.0,-1
420,2,21.0,-1
421,2,21.0,-1
422,2,22.0,-1
423,2,22.0,-1
424,2,22.0,-1
425,2,22.0,-1
426,2,22.0,-1
427,2,22.0,-1
428,2,22.0,0
429,2,22.0,-1
430,2,22.0,-1
431,2,22.0,-1
432,2,16.0,1
433,2,16.0,1
434,2,17.0,0
435,2,17.0,1
436,2,17.0,1
437,2,17.0,1
438,2,17.0,0
439,2,17.0,1
440,2,17.0,1
441,2,17.0,1
442,2,17.0,1
443,2,17.0,0
444,2,17.0,1
445,2,17.0,1
446,2,18.0,1
447,2,18.0,0
448,2,18.0,1
449,2,18.0,1
450,2,18.0,0
451,2,18.0,1
452,2,18.0,1
453,2,18.0,1
454,2,18.0,1
455,2,18.0,0
456,2,18.0,1
457,2,18.0,1
458,2,19.0,1
459,2,19.0,1
460,2,19.0,1
461,2,19.0,1
462,2,19.0,1
463,2,19.0,1
464,2,19.0,0
465,2,19.0,1
466,2,19.0,1
467,2,19.0,1
468,2,19.0,0
469,2,19.0,-1
470,2,20.0,-1
471,2,20.0,-1
472,2,20.0,-1
473,2,20.0,-1
474,2,20.0,-1
475,2,20.0,-1
476,2,20.0,-1
477,2,20.0,-1
478,2,20.0,0
479,2,20.0,-1
480,2,20.0,-1
481,2,20.0,-1
482,2,21.0,-1
483,2,21.0,-1
484,2,21.0,-1
485,2,21.0,-1
486,2,21.0,-1
487,2,21.0,-1
488,2,21.0,-1
489,2,21.0,-1
490,2,21.0,-1
491,2,21.0,-1
492,2,21.0,-1
493,2,21.0,-1
494,2,22.0,-1
495,2,22.0,-1
496,2,22.0,-1
497,2,22.0,-1
498,2,22.0,-1
499,2,22.0,-1
500,2,22.0,-1
501,2,22.0,-1
502,2,22.0,-1
503,2,22.0,-1
504,2,16.0,1
505,2,16.0,0
506,2,17.0,1
507,2,17.0,1
508,2,17.0,1
509,2,17.0,1
510,2,17.0,0
511,2,17.0,1
512,2,17.0,1
513,2,17.0,1
514,2,17.0,0
515,2,17.0,1
516,2,17.0,1
517,2,17.0,0
518,2,18.0,1
519,2,18.0,1
520,2,18.0,0
521,2,18.0,1
522,2,18.0,0
523,2,18.0,1
524,2,18.0,1
525,2,18.0,1
526,2,18.0,0
527,2,18.0,1
528,2,18.0,1
529,2,18.0,0
530,2,19.0,1
531,2,19.0,1
532,2,19.0,0
533,2,19.0,1
534,2,19.0,0
535,2,19.0,1
536,2,19.0,1
537,2,19.0,1
538,2,19.0,0
539,2,19.0,1
540,2,19.0,1
541,2,19.0,1
542,2,20.0,1
543,2,20.0,-1
544,2,20.0,-1
545,2,20.0,-1
546,2,20.0,-1
547,2,20.0,-1
548,2,20.0,-1
549,2,20.0,-1
550,2,20.0,-1
551,2,20.0,-1
552,2,20.0,-1
553,2,20.0,-1
554,2,21.0,-1
555,2,21.0,-1
556,2,21.0,-1
557,2,21.0,-1
558,2,21.0,-1
559,2,21.0,0
560,2,21.0,-1
561,2,21.0,-1
562,2,21.0,-1
563,2,21.0,-1
564,2,21.0,-1
565,2,21.0,-1
566,2,22.0,-1
567,2,22.0,-1
568,2,22.0,-1
569,2,22.0,-1
570,2,22.0,-1
571,2,22.0,-1
572,2,22.0,-1
573,2,22.0,-1
574,2,22.0,-1
575,2,22.0,-1
576,3,16.0,1
577,3,16.0,1
578,3,17.0,0
579,3,17.0,1
580,3,17.0,1
581,3,17.0,1
582,3,17.0,0
583,3,17.0,1
584,3,17.0,1
585,3,17.0,1
586,3,17.0,1
587,3,17.0,0
588,3,17.0,1
589,3,17.0,1
590,3,18.0,1
591,3,18.0,0
592,3,18.0,1
593,3,18.0,1
594,3,18.0,0
595,3,18.0,1
596,3,18.0,1
